feature_id,link
8132,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8132
8524,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8524
8794,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8794
8910,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8910
8922,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8922
8957,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/8957
9114,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/9114
9250,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/9250
9320,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/9320
9418,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/9418
9704,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/9704
10128,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10128
10148,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10148
10197,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10197
10221,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10221
10251,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10251
10392,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/10392
11058,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11058
11129,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11129
11150,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11150
11215,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11215
11338,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11338
11383,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11383
11911,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/11911
12042,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12042
12076,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12076
12082,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12082
12169,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12169
12220,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12220
12336,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12336
12581,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12581
12608,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12608
12809,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12809
12852,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12852
12916,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12916
12943,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12943
12948,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12948
12998,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/12998
13076,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13076
13341,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13341
13478,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13478
13611,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13611
13781,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13781
13870,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13870
13891,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13891
13907,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13907
13959,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/13959
14298,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14298
14351,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14351
14431,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14431
14731,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14731
14733,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14733
14862,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14862
14875,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14875
14914,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14914
14933,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/14933
15048,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15048
15147,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15147
15297,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15297
15569,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15569
15620,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15620
15741,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15741
15924,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/15924
16306,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16306
16393,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16393
16499,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16499
16672,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16672
16763,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16763
16879,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16879
16939,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/16939
17025,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17025
17152,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17152
17194,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17194
17276,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17276
17285,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17285
17302,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17302
17332,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17332
17359,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17359
17537,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17537
17632,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17632
17753,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17753
17763,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17763
17827,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17827
17889,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/17889
18138,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18138
18178,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18178
18211,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18211
18302,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18302
18544,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18544
18583,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18583
18649,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18649
18716,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18716
18855,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18855
18929,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18929
18933,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/18933
19147,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19147
19235,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19235
19275,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19275
19463,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19463
19842,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19842
19945,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19945
19956,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/19956
20096,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20096
20168,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20168
20213,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20213
20252,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20252
20316,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20316
20410,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20410
20480,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20480
20508,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20508
20614,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20614
20712,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20712
20810,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/20810
21038,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21038
21040,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21040
21075,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21075
21143,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21143
21171,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21171
21186,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21186
21439,https://www.neuronpedia.org/gemma-2-9b/20-gemmascope-res-131k/21439
