rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,link
65,71808,endheader,0.25,0.0,-0.25,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/71808
25,125394,newline,0.24300000071525574,0.0,-0.24300000071525574,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/125394
66,22605,endheader,0.24199999868869781,0.0,-0.24199999868869781,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22605
67,96475,endheader,0.2409999966621399,0.0,-0.2409999966621399,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96475
26,121167,newline,0.2329999953508377,0.0,-0.2329999953508377,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121167
68,55847,endheader,0.22499999403953552,0.0,-0.22499999403953552,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/55847
69,104640,endheader,0.2240000069141388,0.0,-0.2240000069141388,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104640
27,98286,newline,0.22200000286102295,0.0,-0.22200000286102295,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98286
28,47076,newline,0.22100000083446503,0.0,-0.22100000083446503,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/47076
70,80845,endheader,0.22100000083446503,0.0,-0.22100000083446503,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/80845
43,13912,asst,0.609000027179718,0.3889999985694885,-0.2200000286102295,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13912
44,51494,asst,0.2199999988079071,0.0,-0.2199999988079071,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/51494
29,27333,newline,0.21899999678134918,0.0,-0.21899999678134918,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/27333
45,53824,asst,0.21299999952316284,0.0,-0.21299999952316284,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/53824
30,11237,newline,0.2070000022649765,0.0,-0.2070000022649765,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11237
31,32378,newline,0.20100000500679016,0.0,-0.20100000500679016,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/32378
71,13912,endheader,0.40400001406669617,0.20600000023841858,-0.1980000138282776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13912
32,15435,newline,0.1979999989271164,0.0,-0.1979999989271164,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/15435
33,86062,newline,0.1940000057220459,0.0,-0.1940000057220459,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/86062
46,121370,asst,0.19300000369548798,0.0,-0.19300000369548798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121370
47,130393,asst,0.19300000369548798,0.0,-0.19300000369548798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130393
48,78224,asst,0.1899999976158142,0.0,-0.1899999976158142,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/78224
49,8931,asst,0.1889999955892563,0.0,-0.1889999955892563,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/8931
72,63296,endheader,0.18700000643730164,0.0,-0.18700000643730164,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/63296
73,4704,endheader,0.18299999833106995,0.0,-0.18299999833106995,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/4704
34,23033,newline,0.18299999833106995,0.0,-0.18299999833106995,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/23033
74,10008,endheader,0.17800000309944153,0.0,-0.17800000309944153,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10008
75,91599,endheader,0.17599999904632568,0.0,-0.17599999904632568,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91599
50,127153,asst,0.17499999701976776,0.0,-0.17499999701976776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/127153
35,54587,newline,0.17499999701976776,0.0,-0.17499999701976776,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/54587
36,119377,newline,0.17299999296665192,0.0,-0.17299999296665192,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/119377
51,36755,asst,0.17299999296665192,0.0,-0.17299999296665192,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36755
76,96162,endheader,0.1720000058412552,0.0,-0.1720000058412552,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96162
37,35715,newline,0.1720000058412552,0.0,-0.1720000058412552,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/35715
78,12549,endheader,0.17000000178813934,0.0,-0.17000000178813934,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/12549
77,10648,endheader,0.17000000178813934,0.0,-0.17000000178813934,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/10648
52,84481,asst,0.1679999977350235,0.0,-0.1679999977350235,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84481
