rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,active_mean_ratio,model_type,sae_layer,sae_trainer
43,92049,newline,0.0,4.432291507720947,4.432291507720947,inf,llama,15,32x
33,104653,endheader,0.0,4.40625,4.40625,inf,llama,15,32x
44,39814,newline,0.0,4.40625,4.40625,inf,llama,15,32x
34,67719,endheader,0.0,4.40625,4.40625,inf,llama,15,32x
45,37570,newline,0.0,4.385937690734863,4.385937690734863,inf,llama,15,32x
46,41593,newline,0.0,4.375,4.375,inf,llama,15,32x
47,130135,newline,2.078125,6.4375,4.359375,3.0977443609022557,llama,15,32x
49,53788,newline,0.0,4.3125,4.3125,inf,llama,15,32x
20,53788,asst,0.0,4.3125,4.3125,inf,llama,15,32x
48,103942,newline,0.0,4.3125,4.3125,inf,llama,15,32x
35,53788,endheader,0.0,4.3125,4.3125,inf,llama,15,32x
50,54712,newline,0.0,4.296875,4.296875,inf,llama,15,32x
51,125971,newline,2.5885417461395264,6.880859375,4.2923173904418945,2.6581991135595584,llama,15,32x
21,130584,asst,0.0,4.28125,4.28125,inf,llama,15,32x
22,98275,asst,0.0,4.28125,4.28125,inf,llama,15,32x
52,130584,newline,0.0,4.28125,4.28125,inf,llama,15,32x
53,98275,newline,0.0,4.28125,4.28125,inf,llama,15,32x
36,130584,endheader,0.0,4.28125,4.28125,inf,llama,15,32x
37,98275,endheader,0.0,4.28125,4.28125,inf,llama,15,32x
54,8064,newline,0.0,4.264404296875,4.264404296875,inf,llama,15,32x
55,12142,newline,0.0,4.2578125,4.2578125,inf,llama,15,32x
56,41700,newline,0.0,4.255208492279053,4.255208492279053,inf,llama,15,32x
57,16773,newline,0.0,4.253378391265869,4.253378391265869,inf,llama,15,32x
58,83499,newline,0.0,4.25,4.25,inf,llama,15,32x
38,95330,endheader,3.5,7.71875,4.21875,2.205357142857143,llama,15,32x
59,19040,newline,0.0,4.21875,4.21875,inf,llama,15,32x
60,17053,newline,0.0,4.1875,4.1875,inf,llama,15,32x
61,99415,newline,0.0,4.1875,4.1875,inf,llama,15,32x
62,74684,newline,0.0,4.170599460601807,4.170599460601807,inf,llama,15,32x
66,71951,newline,0.0,4.15625,4.15625,inf,llama,15,32x
65,11205,newline,0.0,4.15625,4.15625,inf,llama,15,32x
39,29667,endheader,0.0,4.15625,4.15625,inf,llama,15,32x
64,29667,newline,0.0,4.15625,4.15625,inf,llama,15,32x
63,43916,newline,0.0,4.15625,4.15625,inf,llama,15,32x
23,29667,asst,0.0,4.15625,4.15625,inf,llama,15,32x
40,61508,endheader,0.0,4.140625,4.140625,inf,llama,15,32x
41,49527,endheader,0.0,4.132246494293213,4.132246494293213,inf,llama,15,32x
67,26333,newline,0.0,4.125,4.125,inf,llama,15,32x
68,76459,newline,0.0,4.125,4.125,inf,llama,15,32x
24,26333,asst,0.0,4.125,4.125,inf,llama,15,32x
42,26333,endheader,0.0,4.125,4.125,inf,llama,15,32x
69,24205,newline,0.0,4.09375,4.09375,inf,llama,15,32x
25,24205,asst,0.0,4.09375,4.09375,inf,llama,15,32x
44,27498,endheader,0.0,4.09375,4.09375,inf,llama,15,32x
43,24205,endheader,0.0,4.09375,4.09375,inf,llama,15,32x
45,54240,endheader,0.0,4.0931782722473145,4.0931782722473145,inf,llama,15,32x
46,31432,endheader,0.0,4.092077732086182,4.092077732086182,inf,llama,15,32x
70,102138,newline,0.0,4.051682472229004,4.051682472229004,inf,llama,15,32x
72,121011,newline,0.0,4.03125,4.03125,inf,llama,15,32x
71,105829,newline,0.0,4.03125,4.03125,inf,llama,15,32x
73,16023,newline,0.0,4.005208492279053,4.005208492279053,inf,llama,15,32x
74,42353,newline,0.0,4.0,4.0,inf,llama,15,32x
47,122795,endheader,0.0,3.9921875,3.9921875,inf,llama,15,32x
75,100977,newline,0.0,3.984375,3.984375,inf,llama,15,32x
76,112463,newline,0.0,3.984375,3.984375,inf,llama,15,32x
48,17188,endheader,0.0,3.96875,3.96875,inf,llama,15,32x
77,120512,newline,0.0,3.9375,3.9375,inf,llama,15,32x
49,32566,endheader,0.0,3.9375,3.9375,inf,llama,15,32x
78,73037,newline,0.0,3.9375,3.9375,inf,llama,15,32x
79,16079,newline,0.0,3.9228515625,3.9228515625,inf,llama,15,32x
80,63202,newline,0.0,3.90625,3.90625,inf,llama,15,32x
81,101395,newline,0.0,3.90625,3.90625,inf,llama,15,32x
50,52794,endheader,0.0,3.895289182662964,3.895289182662964,inf,llama,15,32x
26,116911,asst,0.0,3.890625,3.890625,inf,llama,15,32x
82,116911,newline,0.0,3.890625,3.890625,inf,llama,15,32x
51,116911,endheader,0.0,3.890625,3.890625,inf,llama,15,32x
83,55805,newline,0.0,3.890625,3.890625,inf,llama,15,32x
27,49527,asst,0.0,3.8862950801849365,3.8862950801849365,inf,llama,15,32x
52,2229,endheader,0.0,3.875,3.875,inf,llama,15,32x
84,93111,newline,0.0,3.8671875,3.8671875,inf,llama,15,32x
85,62494,newline,0.0,3.86328125,3.86328125,inf,llama,15,32x
53,84261,endheader,0.0,3.859375,3.859375,inf,llama,15,32x
86,61794,newline,0.0,3.857921600341797,3.857921600341797,inf,llama,15,32x
87,10392,newline,0.0,3.8489582538604736,3.8489582538604736,inf,llama,15,32x
54,102138,endheader,0.0,3.84375,3.84375,inf,llama,15,32x
55,64607,endheader,0.0,3.84375,3.84375,inf,llama,15,32x
56,120847,endheader,0.0,3.828125,3.828125,inf,llama,15,32x
88,13136,newline,0.0,3.828125,3.828125,inf,llama,15,32x
89,120847,newline,0.0,3.828125,3.828125,inf,llama,15,32x
28,120847,asst,0.0,3.828125,3.828125,inf,llama,15,32x
29,64416,asst,0.0,3.82421875,3.82421875,inf,llama,15,32x
90,94179,newline,0.0,3.8203125,3.8203125,inf,llama,15,32x
30,67037,asst,0.0,3.8125,3.8125,inf,llama,15,32x
57,67037,endheader,0.0,3.8125,3.8125,inf,llama,15,32x
91,67037,newline,0.0,3.8125,3.8125,inf,llama,15,32x
92,26040,newline,0.0,3.796875,3.796875,inf,llama,15,32x
