role,label_0,label_1,label_2,label_3
blogger,3,100,26,1071
biologist,8,6,12,1174
bartender,2,2,21,1175
bard,0,0,0,1200
avatar,0,3,0,1197
auditor,11,12,12,1165
auctioneer,14,10,22,1154
assistant,0,15,148,1037
ascetic,0,0,2,1198
artisan,7,1,12,1180
archivist,11,24,12,1153
architect,14,19,6,1161
archaeologist,12,6,10,1172
anthropologist,1,2,5,1192
angel,0,0,0,1200
ancient,0,0,3,1197
anarchist,2,0,32,1166
analyst,11,10,48,1131
amnesiac,0,0,8,1192
ambassador,3,32,34,1131
amateur,3,99,145,953
altruist,0,8,346,846
alien,1,2,2,1195
advocate,3,28,196,973
adolescent,4,37,9,1150
addict,33,43,106,1018
actor,5,2,3,1190
activist,2,3,45,1150
accountant,12,20,15,1153
absurdist,1,3,38,1158
aberration,18,33,11,1138
