experiment_id,config_name,ifeval_pct_change,harm_pct_change,display_name,mmlu_pro_pct_change,eq_bench_pct_change,gsm8k_pct_change,sum_decrease
layers_46:54-p0.25,role_trait,-0.9493670886075891,-50.64155064155065,"Layers 46-53, 25th",0.5296610169491507,-2.414688363244378,3.094059405940583,0.25966497103776653
layers_52:60-p0.75,role_trait,-2.848101265822782,-49.11274911274911,"Layers 52-59, 75th",-1.694915254237292,0.38560584084505395,2.970297029702959,-1.1871136495120607
layers_54:58-p0.25,role_trait,-2.689873417721517,-48.78514878514878,"Layers 54-57, 25th",0.6355932203389907,-2.9492672317801696,3.7128712871287024,-1.2906761420339934
layers_52:56-p0.01,role_trait,-3.3227848101265764,-46.38274638274639,"Layers 52-55, 1st",1.271186440677965,-2.8554450836937564,3.5891089108910785,-1.3179345422512894
layers_52:60-p0.5,role_trait,-1.8987341772151782,-50.09555009555009,"Layers 52-59, 50th",-2.7542372881355934,0.33731545505213634,2.970297029702959,-1.3453589805956763
layers_32:40-p0.75,role_trait,-3.0063291139240467,-31.58613158613158,"Layers 32-39, 75th",-0.3177966101694871,-1.5186803540058753,3.4653465346534547,-1.3774595434459544
layers_54:58-p0.01,role_trait,-3.7974683544303707,-50.85995085995086,"Layers 54-57, 1st",1.694915254237292,-2.8804852387267235,3.4653465346534547,-1.5176918042663474
layers_32:40-p0.5,role_trait,-3.164556962025312,-39.28473928473928,"Layers 32-39, 50th",-0.3177966101694871,-1.2167604658199112,3.094059405940583,-1.6050546320741272
layers_34:42-p0.25,role_trait,-3.6392405063291062,-57.3027573027573,"Layers 34-41, 25th",2.3305084745762663,-3.3034767380928614,2.970297029702959,-1.6419117401427417
layers_44:60-p0.75,role_trait,-2.689873417721517,-50.532350532350534,"Layers 44-59, 75th",-2.2245762711864425,0.23487216063792826,2.970297029702959,-1.7092804985670722
layers_40:56-p0.75,role_trait,-3.0063291139240467,-43.980343980343974,"Layers 40-55, 75th",-2.4364406779661065,0.617650384183346,3.094059405940583,-1.7310600017662248
layers_52:60-p0.25,role_trait,-3.164556962025312,-49.65874965874966,"Layers 52-59, 25th",-1.3771186440677885,0.3861183858174638,2.35148514851484,-1.804072071760797
layers_52:60-p0.01,role_trait,-3.6392405063291062,-50.96915096915097,"Layers 52-59, 1st",0.10593220338984001,-1.372088072788719,3.094059405940583,-1.8113369697874022
layers_36:44-p0.5,role_trait,-2.2151898734177227,-55.773955773955784,"Layers 36-43, 50th",-0.5296610169491507,-1.882024193880874,2.5990099009900876,-2.027865183257659
layers_52:56-p0.5,role_trait,-2.689873417721517,-43.54354354354354,"Layers 52-55, 50th",-0.10593220338982355,-3.000513513922861,3.5891089108910785,-2.2072102241431226
layers_32:48-p0.75,role_trait,-2.848101265822782,-45.07234507234507,"Layers 32-47, 75th",-2.4364406779661065,0.2793730863523096,2.7227722772277114,-2.2823965802088666
layers_44:52-p0.75,role_trait,-2.531645569620252,-46.27354627354627,"Layers 44-51, 75th",-1.4830508474576285,-1.2471075243684284,2.970297029702959,-2.2915069117433498
layers_40:48-p0.75,role_trait,-3.0063291139240467,-32.73273273273272,"Layers 40-47, 75th",-0.8474576271186378,-1.4273433284583243,2.970297029702959,-2.3108330397980494
layers_38:54-p0.75,role_trait,-3.164556962025312,-48.12994812994813,"Layers 38-53, 75th",-2.648305084745753,0.40398714733833313,3.094059405940583,-2.3148154934921488
layers_48:56-p0.01,role_trait,-1.8987341772151782,-49.98634998634998,"Layers 48-55, 1st",-1.0593220338983014,-2.2327134012971386,2.8465346534653353,-2.3442349589452824
layers_42:58-p0.75,role_trait,-3.3227848101265764,-44.52634452634453,"Layers 42-57, 75th",-2.54237288135593,0.2819939866509861,3.217821782178207,-2.365341922653314
layers_36:52-p0.75,role_trait,-3.164556962025312,-48.45754845754846,"Layers 36-51, 75th",-2.7542372881355934,0.45767678085838853,3.094059405940583,-2.3670580633619336
layers_42:50-p0.75,role_trait,-2.689873417721517,-40.48594048594049,"Layers 42-49, 75th",-1.165254237288125,-1.40150238560397,2.8465346534653353,-2.410095387148276
layers_50:54-p0.25,role_trait,-3.7974683544303707,-42.66994266994267,"Layers 50-53, 25th",0.6355932203389907,-3.065074905441826,3.7128712871287024,-2.514078752404503
layers_50:54-p0.5,role_trait,-2.2151898734177227,-43.980343980343974,"Layers 50-53, 50th",-0.8474576271186378,-2.9492672317801696,3.4653465346534547,-2.5465681976630754
layers_52:56-p0.25,role_trait,-3.481012658227842,-44.63554463554463,"Layers 52-55, 25th",0.8474576271186542,-3.0425691428189303,3.094059405940583,-2.582064767987535
layers_56:60-p0.25,role_trait,-3.481012658227842,-52.27955227955228,"Layers 56-59, 25th",0.4237288135593271,-3.000513513922861,3.4653465346534547,-2.5924508239379214
layers_32:40-p0.25,role_trait,-3.3227848101265764,-46.49194649194649,"Layers 32-39, 25th",-0.21186440677966356,-1.8407541620212897,2.7227722772277114,-2.6526311016998183
layers_36:44-p0.75,role_trait,-3.0063291139240467,-48.12994812994813,"Layers 36-43, 75th",-1.3771186440677885,-1.592659859826087,3.094059405940583,-2.882048211877339
layers_52:56-p0.75,role_trait,-2.848101265822782,-42.34234234234234,"Layers 52-55, 75th",-0.5296610169491507,-3.000513513922861,3.4653465346534547,-2.9129292620413394
