filenames,role_path_lengths,trait_path_lengths,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
writing_persona9_topic9,1287.076293323856,787.2110042281918,117.37549677004003,72.4364388259985,22.505145370470565,3.070683437833405
writing_persona9_topic8,1320.1353983837105,836.5569164187351,118.86555765816163,71.98276598447943,46.41096031151558,8.135941572435996
writing_persona9_topic7,1459.0532336826475,935.3906003287738,164.80420352241995,105.05434518163082,48.2245415364678,17.409577998221827
writing_persona9_topic6,1547.7154582313565,954.3058091333776,206.8006584774496,130.832200301954,39.403474590894334,8.576352163970181
writing_persona9_topic5,1652.968558057787,1100.6242776856031,110.71027939862272,67.71674258443105,43.5781356638208,8.344569800501478
writing_persona9_topic4,752.0586788162399,481.7180862390758,137.84292383833352,95.61158547692614,39.394312151205504,7.37803048255984
writing_persona9_topic3,1964.8420345146703,1266.1560955963027,169.97238794903816,111.7612423689532,34.037684470457016,10.848324239796732
writing_persona9_topic2,1545.2690611363184,1012.6409959151758,165.10861030370486,105.57099518108406,41.30670067435549,10.938894085267743
writing_persona9_topic19,1356.0085925228295,868.7784161950408,245.9580058169413,156.73491411567517,30.669058166367826,5.509452539192794
writing_persona9_topic18,1400.5939211261275,885.6489465254137,176.95620639561835,120.19315434218707,72.10874328498988,11.855718002088615
writing_persona9_topic17,872.2164900739378,571.1419231539496,126.96796156654536,82.02750698680676,50.70236172421534,9.584458223306118
writing_persona9_topic16,1875.196242019484,1149.5247063322972,124.22212081209145,76.6503672100995,42.34054927222599,6.0219957812608635
writing_persona9_topic15,1175.2835718458643,746.6245007296397,147.01072808919005,90.1411257644697,29.611067153574954,5.0493419086927025
writing_persona9_topic14,1069.806278258727,666.4671957774467,118.33929452393784,77.86818244433995,51.14227301660004,7.525382109911777
writing_persona9_topic13,1288.5425951443297,804.6169565359156,112.22630433804748,74.18342725683632,47.410233270109494,7.837872228168914
writing_persona9_topic12,1535.5740302685822,950.247687726634,169.9419421043835,99.55763156809803,38.12678455013737,7.673327484860368
writing_persona9_topic11,1934.281469898144,1227.2847595810256,134.80976947646886,90.2599158267359,33.925344545610216,8.205977563074164
writing_persona9_topic10,1271.011261524064,808.7745345757237,143.1630927123144,92.10643770421916,53.663639509985686,11.814017254130254
writing_persona9_topic1,575.4110564388948,355.64975923240524,121.82791546026355,71.48239962540332,45.3001311927315,10.798634165815585
writing_persona9_topic0,1334.494387590952,854.5234759397501,188.10941647149448,123.78025076848901,55.90320886218386,8.603912330239101
writing_persona8_topic9,1511.4033643767186,911.0072469878268,121.83038264356242,71.84951033633169,38.860262811556446,8.57468015954301
writing_persona8_topic8,1621.5502623396385,966.2055052170743,154.16816460033996,92.82954288874029,33.52631759349148,10.056425223865777
writing_persona8_topic7,723.9602548888167,417.64551689586375,121.00489167447228,78.17177310789621,46.05848538906409,8.202282981708354
writing_persona8_topic6,757.7061321970086,458.8348933255917,206.85999487797682,133.91554384518298,54.243073767906296,9.38772105207435
writing_persona8_topic5,1377.3037666421433,848.9204606817563,188.35095034093692,126.1782643772801,35.22765720711319,4.815443321567347
writing_persona8_topic4,1023.0772482276428,636.3220175725648,188.72289898152943,129.1495871453052,52.83834665819957,9.654845304277801
writing_persona8_topic3,940.7426090088284,574.7466598089945,200.36783314413572,121.85743127499508,60.2341610106237,14.622341335480444
writing_persona8_topic2,1470.630013061916,921.3626655356378,178.73306593973953,114.58469553706684,57.13845515458272,12.046998797044026
writing_persona8_topic19,1345.937275646173,801.0923147786903,180.50049192475828,120.82457286780885,50.88360704959281,16.155942536653903
writing_persona8_topic18,761.3596658370409,472.0368031121053,210.601153058934,141.91138272187868,24.738201087569735,11.865515386103581
writing_persona8_topic17,1437.3712004224358,833.9909234914725,159.28914602236253,97.41054202747632,69.06216497290562,15.161731810086833
writing_persona8_topic16,1238.371676647182,767.5764938821222,188.2705177003316,116.68746586542666,31.92571677619108,6.167299438572259
writing_persona8_topic15,1306.3108926865016,758.6364508811114,110.46474978025644,70.06535742864857,45.905158077320564,7.767671109080866
writing_persona8_topic14,988.1682274715164,592.743988202514,116.22003369561142,74.88128917916605,24.546412007998462,4.954299999035067
writing_persona8_topic13,785.053214869411,506.8075674713331,171.28852347628793,108.56237295977823,55.62114426685575,13.025713092594957
writing_persona8_topic12,1064.032961185584,649.7584659826823,186.41195693468376,120.32010972459318,62.02337301027141,16.158671155965745
writing_persona8_topic11,1004.3537274316724,588.873319808398,258.8976208476289,146.03816331275684,70.42126527139915,10.186350537257951
writing_persona8_topic10,1639.65476774615,998.8656245080754,120.0058847356097,64.51595242345121,33.112410345204175,7.888133583320087
writing_persona8_topic1,1510.7373477460346,905.5120144045032,240.31171680697597,157.05199076335825,52.60161082299572,13.961214844922019
writing_persona8_topic0,1223.6865029522955,716.876451814618,107.89551630072687,67.50017233287508,34.01721893748251,8.710351096236426
writing_persona7_topic9,1751.5394430857752,1069.6821805339673,88.7444795218117,52.00511282344574,26.86683022607076,6.587201003449119
writing_persona7_topic8,1566.0565255013769,949.7674141848306,109.6527628984212,67.01040814888958,31.437316710811693,8.448776237351854
writing_persona7_topic7,1079.2970605674689,656.7258823951202,176.18061847626515,109.2110231606877,53.37923449502537,8.597167697823018
writing_persona7_topic6,1646.976706490819,969.6391108119204,113.32493398460224,66.91559226306498,52.70239022327637,8.202993314333847
writing_persona7_topic5,815.3021319766481,479.84768818437385,93.70805082494907,59.60656880038225,51.43008249648044,11.305292055105578
writing_persona7_topic4,1217.1757387396012,761.9885335438289,94.07794041263098,58.456304462182544,20.09457048189846,3.504250240565934
writing_persona7_topic3,1200.3323735061342,725.1202032686349,95.46074923537877,57.289968098810945,30.504545651199553,4.994983790467236
writing_persona7_topic2,1500.6022950565991,932.0020890591388,99.83142282384934,59.086440518306304,21.0922821187239,4.98169016798667
