filenames,role_path_length,trait_path_length,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
writing_persona9_topic9,868.1915983104709,550.9027736370282,92.79182600619463,56.45470811053101,131.15594055123358,25.481266812076548
writing_persona9_topic8,759.0206453384608,490.188240249351,112.22048065253682,76.16939778789099,77.11110196608398,11.871730056790724
writing_persona9_topic7,805.2229080635917,508.4974488889056,118.45713043138583,74.74238469899127,68.65861330326739,9.599108364480568
writing_persona9_topic6,761.214436001934,496.1063498382972,113.58300485698236,72.62159189434121,96.0894845317445,22.299370139850687
writing_persona9_topic5,1069.6910621204447,705.7837989253906,138.7937215612675,87.3669300865816,80.6531202061586,16.871836736820683
writing_persona9_topic4,485.0081574755026,306.94885142332697,95.94157767819162,62.34489235235371,60.029813258522054,13.601549771302006
writing_persona9_topic3,1340.8968200895013,851.7072735247513,186.62095084766258,114.94238143077864,143.20062269412745,22.277809724700123
writing_persona9_topic2,1271.0631440328434,864.8186703011806,137.6233668792763,95.21993373880042,84.10555604452148,13.591132693735972
writing_persona9_topic19,807.2535446011734,512.3919958182354,93.7460545870374,61.54679449362846,73.45459810007789,20.140590525274504
writing_persona9_topic18,994.2209306999738,661.8600827531477,116.45476155793988,81.66300453435821,82.17466128655623,19.661621858901213
writing_persona9_topic17,518.3563399263579,339.52092234627423,108.98575686251017,72.79288342570526,46.65517988188627,16.559310137911268
writing_persona9_topic16,1510.0158894706651,944.4798834104383,202.65127166677613,136.1704157611932,189.63914801250544,45.42348448169433
writing_persona9_topic15,924.2787406346629,595.9285068281401,139.02335877543214,85.16793184889097,98.88653732145325,16.676580328498993
writing_persona9_topic14,582.7216728121728,384.0749954472149,92.8643305326429,60.25714991888732,54.00869992571285,19.50282523371675
writing_persona9_topic13,754.7235702962481,489.89495025239194,100.0868259767725,63.66640438127986,113.10788837133838,20.908058978458254
writing_persona9_topic12,1071.5358548428576,697.589383265071,123.04326877062141,81.08817957474703,128.77086143203564,23.592046979653485
writing_persona9_topic11,1102.8106159101437,682.0048339694165,176.74326548329412,104.13712344802386,125.33364802624354,27.323804737148507
writing_persona9_topic10,788.6619802881379,523.2472981204144,119.58473802779835,84.81441768044121,70.3344184495107,33.673452281337575
writing_persona9_topic1,260.0531992610013,182.012209543089,95.60384079782402,68.84476286297219,37.74571792223972,20.76947764089265
writing_persona9_topic0,919.9834311529207,603.1031105257215,147.2883371275629,99.35802083902914,71.37650064034405,19.759336914791465
writing_persona8_topic9,820.9503572458842,504.0928728342917,130.96194327767876,77.54222448049235,66.11268609820453,13.27914799735157
writing_persona8_topic8,955.6265246883574,590.7637655755544,120.1353409985509,75.25930536175007,50.981279223324684,13.24859459246107
writing_persona8_topic7,608.8022158722981,352.61233768116955,92.89081804712278,52.82964813838451,59.52189223577777,21.599423634962267
writing_persona8_topic6,381.2988901027257,232.53383439978282,172.73303019783557,110.33763651186928,46.73051418612465,25.102306951377084
writing_persona8_topic5,902.092664411882,588.9051780444928,89.5810561838736,63.62631448220975,95.33176365703481,18.897257506649165
writing_persona8_topic4,635.2181178463982,398.51810123863817,83.01398679278789,53.306376766023455,45.39667323622707,11.847413962526726
writing_persona8_topic3,375.08756848834724,227.9615253072519,69.03893084958536,43.537855287433196,20.34209470021846,5.345154265641996
writing_persona8_topic2,1022.8951464489932,661.1765570906595,128.44827024962623,90.10357094222947,97.30880019188368,24.06172628201149
writing_persona8_topic19,942.8119512467741,575.3030820642333,108.96216946668407,65.43068278401745,70.8729310358213,9.572168226469058
writing_persona8_topic18,457.81024959146333,295.24693749630404,82.95049180173727,53.71389412390611,22.19567970858161,8.708885952975805
writing_persona8_topic17,673.6334782445167,411.12528784767545,92.85338421311359,59.59414679034641,53.58530677655872,9.427517417967604
writing_persona8_topic16,1037.5758263633702,637.6223809490509,113.36019534858619,66.44328466728545,95.67988757529204,21.354368169251547
writing_persona8_topic15,576.5459779600826,349.09311595773175,79.28062427488442,51.18369051362285,65.4752078179214,19.574891230217506
writing_persona8_topic14,683.3507202692833,409.75362383494087,83.39223477175403,51.41167859249532,33.27020934824117,11.534945969526294
writing_persona8_topic13,458.4735433558702,289.9763770444067,86.9995873157198,52.81949632781854,36.7014852764307,8.666608969826783
writing_persona8_topic12,675.2986665603635,433.4719552252742,128.60510519065252,83.85540606159842,83.11673236121493,17.82278314279335
writing_persona8_topic11,571.8306975937638,344.62181936115843,117.58209217084053,71.31817804919685,47.62246364302624,9.658303717616782
writing_persona8_topic10,1444.8836066276647,970.172223748721,144.52662951046543,96.17899425841696,164.78620052277978,28.566278377080806
writing_persona8_topic1,949.7930405108795,614.7464412968656,93.50849286594554,61.52701723027944,80.53921374666018,13.415082377442275
writing_persona8_topic0,571.9850469616207,349.15375333148813,68.2032591793599,46.899907731949575,63.39715029676615,15.492248334591855
writing_persona7_topic9,1222.6321912913256,792.4148171908978,122.03653976195632,85.40349233700162,118.0817184142318,21.72619954714322
writing_persona7_topic8,947.6427267322044,573.3098964195909,105.01326806459305,66.32135118612355,63.2180591693248,9.742272593844332
writing_persona7_topic7,495.0727675617974,319.1408599290466,143.86950955222107,97.90605944678806,26.31392039484531,8.889359549775145
writing_persona7_topic6,1382.8963624846187,854.0945911994316,179.65475705726055,111.20306213348692,80.61837666186763,24.883312593387373
writing_persona7_topic5,418.464955616261,261.0520593687727,150.21220642184736,94.50039448224787,15.687464899991049,6.5887195758566754
writing_persona7_topic4,834.6051183756992,538.5442032277408,175.8120109674953,116.94606653934703,24.13978535769691,7.532787475158678
writing_persona7_topic3,891.1283853179251,563.7735759305076,179.63195107392949,118.33792926689789,51.71964268965447,12.473862753725278
writing_persona7_topic2,1038.546625743479,662.8867773472073,122.30883109875894,75.5222553512942,105.2487909232398,17.88268140254112
writing_persona7_topic19,1185.2789566118809,722.9955658281021,168.4008067255736,104.63517326870046,65.06413240022741,14.369424356494882
writing_persona7_topic18,1326.658544989015,797.6286391160229,179.68538727904567,116.72668393361198,55.4110705366393,7.6853559492868975
writing_persona7_topic17,1004.9551731147236,620.0288855155324,118.74339894515273,72.89839938819507,35.119971539788764,5.726548719971698
writing_persona7_topic16,793.4822782424878,523.2583237813494,121.86679177330517,84.97522060874799,36.33360507334356,8.338426205372436
writing_persona7_topic15,1475.6835032493457,935.0609834614825,189.1810667143995,126.2061283867304,50.60295395175971,8.026401302310429
writing_persona7_topic14,1513.2387396431138,893.5159339629457,208.53758539386487,128.1827636505375,77.06600643503197,20.28065412104256
writing_persona7_topic13,1059.7797535852535,675.270750410627,163.0096407977522,105.77369936625435,117.31865180923079,19.884150171812912
writing_persona7_topic12,806.2738546871127,518.1880096960256,157.9712224770432,105.60099763652406,88.23646574241262,23.67954327964225
writing_persona7_topic11,551.1166909955564,338.73527856417684,111.36847732077776,67.42740308404234,28.663388919718436,11.711435705647885
writing_persona7_topic10,1409.9112242758638,885.3091160964328,191.54514238358084,119.2380123506944,101.89917003838355,16.736621883638367
