label,projection,score
divorcee,-16.713144027460256,pos_2
scout,-16.683161756029047,pos_2
activist,-16.677316019417717,pos_2
guardian,-16.438001066119693,pos_2
critic,-16.387225122972154,pos_3
archivist,-16.065499835782607,pos_3
physicist,-15.969329126264071,pos_3
archaeologist,-15.752325564503087,pos_2
vegan,-15.561102689924562,pos_3
chameleon,-15.014728325559888,pos_2
hive,-14.890550392719593,pos_2
emissary,-14.856429775960562,pos_3
devils_advocate,-14.817512670171,pos_2
caregiver,-14.816148672940283,pos_2
soldier,-14.313093111634954,pos_2
builder,-14.281642943466514,pos_2
healer,-14.228253715498626,pos_2
naturalist,-14.214701580690187,pos_2
ecosystem,-14.19180087929828,pos_2
amateur,-13.530819628019122,pos_2
navigator,-13.498611225849928,pos_2
optimist,-13.298221173213662,pos_2
cartographer,-13.177783495478344,pos_2
virtuoso,-13.137353447987252,pos_2
conservator,-12.952115302561129,pos_3
detective,-12.629026982463945,pos_3
mechanic,-12.584268011599292,pos_2
entrepreneur,-12.46591391775636,pos_3
expatriate,-12.429243849765959,pos_3
curator,-12.405883748284811,pos_3
merchant,-12.191233920569983,pos_2
podcaster,-11.917165905106012,pos_2
prodigy,-11.640682920132065,pos_2
guide,-11.615573230032028,pos_2
symbiont,-10.12747639313756,pos_2
guide,-10.110910730828346,pos_3
parent,-10.046192437984176,pos_3
advocate,-9.99756705879831,pos_3
pacifist,-9.692076480772558,pos_2
graduate,-9.269318058118303,pos_3
altruist,-8.978761615915811,pos_3
pacifist,-8.83410999653394,pos_3
cartographer,-8.686777714940247,pos_3
chef,-8.114667261577715,pos_2
empath,-7.406855472500212,pos_2
spy,-7.364256577209237,pos_2
widow,-7.008865200504656,pos_2
perfectionist,-6.779897599832926,pos_3
caregiver,-6.726233820957767,pos_3
activist,-6.650712977218152,pos_3
auctioneer,-6.494418158587973,pos_2
workaholic,-6.338496273842466,pos_2
cyborg,-5.8320521336429385,pos_3
provincial,-5.7669220545948585,pos_2
fixer,-5.655253190771472,pos_2
competitor,-5.14414911904425,pos_2
saboteur,-5.08334150814279,pos_2
archaeologist,-4.66650808713771,pos_3
addict,-4.403378751881716,pos_2
traditionalist,-4.400022980617504,pos_2
improviser,-4.378032069066794,pos_2
orphan,-3.9351596040888235,pos_2
navigator,-3.8051949564910865,pos_3
amateur,-3.5594370311689154,pos_3
mechanic,-3.5440945112414286,pos_3
survivor,-3.438751482199665,pos_2
builder,-3.3705295192746214,pos_3
patient,-3.237249458391174,pos_3
idealist,-2.4803347102685636,pos_2
witness,-2.2097076189031872,pos_3
cosmopolitan,-2.111450677854194,pos_3
sommelier,-1.675132397936011,pos_2
veteran,-1.591427226357909,pos_3
dilettante,-1.3475042089830405,pos_2
guardian,-1.1887007759414645,pos_3
newlywed,-1.139143508705086,pos_3
ecosystem,-1.0578776308777282,pos_3
hacker,-0.9789330402872948,pos_2
influencer,-0.9050208509526567,pos_3
hybrid,-0.6213455667732267,pos_3
optimist,-0.6077664029263488,pos_3
loner,-0.5805659564670952,pos_2
bartender,-0.5498454483557662,pos_2
collector,-0.5261644216330474,pos_3
procrastinator,-0.39392628358621384,pos_2
podcaster,0.9551696237711121,pos_3
writer,1.037748527791543,pos_3
composer,1.069578236766329,pos_2
blogger,1.3584315159020743,pos_3
photographer,1.3812829508923097,pos_2
minimalist,2.000528041022981,pos_2
teenager,2.0083445051522837,pos_3
purist,2.0857637539394576,pos_2
playwright,2.1274402379681696,pos_2
scout,2.2295364117104963,pos_3
naturalist,2.5687954192087172,pos_3
zeitgeist,2.5813530639867337,pos_2
devils_advocate,2.750768330785424,pos_3
chef,2.905360750434327,pos_3
prodigy,3.2837632382168187,pos_3
revolutionary,3.450272383902943,pos_2
visionary,3.6034211666954663,pos_2
destroyer,3.7085669731820277,pos_2
adolescent,4.361613421306073,pos_3
philosopher,4.547240562371632,pos_3
divorcee,5.420363030036623,pos_3
anarchist,5.606181149292683,pos_2
musician,5.7794109843558035,pos_2
healer,5.87740816756731,pos_3
retiree,6.044374964323753,pos_3
minimalist,6.153451315728315,pos_3
immigrant,6.769629624423543,pos_3
novelist,6.929977191898465,pos_2
contrarian,6.954796033900955,pos_2
symbiont,7.218108107083093,pos_3
artisan,7.886354293280858,pos_2
smuggler,7.955229720093482,pos_2
criminal,9.374600456371788,pos_2
virus,9.407550110013794,pos_2
chameleon,9.691826601520185,pos_3
anarchist,10.062241581797736,pos_3
sommelier,10.394568985482897,pos_3
traditionalist,10.46216945346995,pos_3
dilettante,10.548346997225822,pos_3
celebrity,10.634349963290603,pos_3
gamer,11.59905189496271,pos_3
soldier,12.120778177728504,pos_3
composer,12.591596807721494,pos_3
vigilante,12.689020627375092,pos_2
workaholic,12.803057320092197,pos_3
purist,13.308818822522898,pos_3
refugee,13.315504832119377,pos_3
merchant,13.931431481623306,pos_3
visionary,14.000623879678056,pos_3
maverick,14.455840828570192,pos_2
saboteur,15.209236315010514,pos_3
procrastinator,15.33713066901608,pos_3
spy,16.54499391152426,pos_3
contrarian,16.712854465822858,pos_3
hive,17.63828005187273,pos_3
empath,17.864566516827985,pos_3
addict,18.05288075214526,pos_3
martyr,18.22967324424238,pos_2
hoarder,18.24500957161289,pos_2
playwright,18.528303437792875,pos_3
auctioneer,18.547450867009946,pos_3
tulpa,19.32989218071638,pos_3
prey,19.556877975780793,pos_2
competitor,20.012545157185922,pos_3
destroyer,20.04060495546883,pos_3
hacker,20.79725610691699,pos_3
bartender,20.842796888310694,pos_3
photographer,21.039531939434756,pos_3
idealist,21.159414173555827,pos_3
predator,21.857291690002604,pos_2
improviser,21.92051652163159,pos_3
hedonist,22.12343835257228,pos_2
prisoner,22.550765163152136,pos_3
comedian,23.074753266207036,pos_2
daredevil,23.589776153693222,pos_2
orphan,23.726279069505928,pos_3
wanderer,23.936590300407396,pos_2
loner,23.996673751401502,pos_3
fool,25.159019356103485,pos_2
nomad,25.76933079625968,pos_3
stoic,25.948782135474328,pos_3
musician,26.278130889792443,pos_3
swarm,26.341867923148047,pos_3
grandparent,26.49111770845503,pos_3
maverick,26.565938368490915,pos_3
provincial,26.61060901623314,pos_3
artisan,26.699965382761498,pos_3
novelist,27.045854835816595,pos_3
zeitgeist,27.078477005847432,pos_3
virtuoso,27.206168919203215,pos_3
toddler,27.66129896016338,pos_3
fixer,28.131166754708925,pos_3
evangelist,28.653274076399423,pos_3
gossip,28.83022235290021,pos_3
survivor,29.231241008392725,pos_3
hedonist,29.335662873911954,pos_3
vigilante,29.6353666313369,pos_3
widow,29.75973464599041,pos_3
luddite,30.588762008107377,pos_2
revolutionary,31.065229377000644,pos_3
comedian,31.257313970020363,pos_3
virus,31.66176660399272,pos_3
provocateur,31.864389458754186,pos_2
hoarder,32.119230874475605,pos_3
actor,32.19789779244715,pos_3
simulacrum,32.84974309640189,pos_2
cynic,33.41673366243467,pos_3
jester,36.46149552327996,pos_2
smuggler,37.619749257716784,pos_3
infant,38.62903706263102,pos_3
narcissist,39.07213810161055,pos_3
fool,40.05872476576472,pos_3
crystalline,40.12985995398659,pos_3
parasite,40.561370710041345,pos_3
daredevil,40.81669321011604,pos_3
provocateur,42.71707745221496,pos_3
rebel,43.20100722220435,pos_3
shapeshifter,43.53163127685423,pos_3
alien,44.21499919090808,pos_3
trickster,44.64489849799654,pos_2
luddite,44.6579424560502,pos_3
rogue,44.75315128887474,pos_3
surfer,46.72492417369436,pos_3
simulacrum,47.17603311143024,pos_3
romantic,47.18630531779258,pos_3
elder,47.41008761971361,pos_3
egregore,47.57910345301356,pos_3
sage,48.05067226595633,pos_3
narrator,48.503506214778234,pos_3
martyr,48.61296733011171,pos_3
predator,48.90626865116886,pos_3
criminal,49.11596958124848,pos_3
warrior,50.92538775235889,pos_3
trickster,51.5787668929428,pos_3
coral_reef,51.85864431528388,pos_3
amnesiac,52.2442095878747,pos_3
guru,53.28367648411408,pos_3
flaneur,53.92127780088451,pos_3
homunculus,56.04678050947445,pos_3
angel,56.15594100487008,pos_3
prey,56.20926718679545,pos_3
genie,56.733966458162996,pos_3
zealot,58.34466716426775,pos_3
wanderer,58.55322556571437,pos_3
mycorrhizal,58.6938309842826,pos_3
exile,60.035014772494385,pos_3
jester,60.29601670079412,pos_3
absurdist,60.39129068333227,pos_3
chimera,60.81835901944291,pos_3
ancient,60.94876719427301,pos_3
avatar,61.167897052962175,pos_3
familiar,61.24636237877855,pos_3
pirate,61.25160613497193,pos_3
pilgrim,61.56875013595668,pos_3
bohemian,63.704140834436174,pos_3
whale,66.41810071794757,pos_3
ascetic,66.60802745604329,pos_3
golem,67.03869263424791,pos_3
shaman,68.59752911271877,pos_3
mystic,69.04551841992208,pos_3
dreamer,69.88462621025863,pos_3
spirit,70.46471467381151,pos_3
wind,71.45993121584117,pos_3
caveman,71.48388380992427,pos_3
hermit,71.70094751866233,pos_3
oracle,73.11485737318607,pos_3
witch,75.00443113295879,pos_3
bard,75.57308751538353,pos_3
ghost,76.00437717682496,pos_3
revenant,76.28660513595287,pos_3
echo,76.33201839363056,pos_3
tree,77.03371082259267,pos_3
demon,79.08115073405239,pos_3
vampire,79.33145463761149,pos_3
prophet,80.3930701472375,pos_3
poet,80.6324891639255,pos_3
aberration,81.0219142995797,pos_3
void,81.61490717478921,pos_3
wraith,88.19932964029661,pos_3
eldritch,88.93766364796248,pos_3
leviathan,92.81104297322707,pos_3
