label,projection,distance
pos_p0_q195,-11.90136768416818,0.015798220937831786
pos_p2_q130,-11.954704275223135,0.037538370117122355
pos_p1_q42,-11.963966012813831,0.04680010770781884
pos_p1_q122,-11.966279837700412,0.04911393259440011
pos_p0_q25,-11.835429305370354,0.08173659973565783
pos_p1_q184,-12.01805146531383,0.1008855602078178
pos_p3_q137,-12.032355855997674,0.1151899508916614
pos_p0_q34,-12.03333742679117,0.11617152168515865
pos_p0_q130,-11.797945608073373,0.11922029703263881
pos_p2_q116,-12.147308747825084,0.23014284271907215
pos_p1_q222,-11.679140622784187,0.23802528232182496
pos_p3_q195,-12.16083739119237,0.2436714860863578
pos_p0_q76,-12.173823760430148,0.25665785532413565
pos_p1_q232,-12.175254551352634,0.2580886462466214
pos_p2_q233,-12.300826136983762,0.3836602318777498
pos_p3_q117,-11.52971088250172,0.38745502260429276
pos_p2_q187,-11.51631740887234,0.4008484962336727
pos_p1_q82,-11.500659194426015,0.4165067106799967
pos_p1_q76,-11.488501650068041,0.4286642550379707
pos_p3_q213,-12.375264619820259,0.45809871471424657
pos_p3_q234,-11.44356543583486,0.47360046927115285
pos_p0_q170,-11.438334017064646,0.4788318880413662
pos_p4_q137,-11.433967557803792,0.48319834730222055
pos_p2_q59,-11.418021546567477,0.4991443585385351
pos_p1_q67,-11.41179493802977,0.5053709670762423
pos_p2_q144,-11.379377583031866,0.537788322074146
pos_p1_q227,-11.377031588155438,0.5401343169505743
pos_p1_q62,-11.37232363781807,0.544842267287942
pos_p2_q139,-12.463649145021929,0.5464832399159167
pos_p1_q158,-11.361272479992879,0.5558934251131333
pos_p3_q91,-12.477714390920308,0.5605484858142962
pos_p2_q167,-11.346922840971626,0.5702430641343863
pos_p2_q235,-12.533842587302592,0.6166766821965801
pos_p0_q199,-11.294006094128688,0.6231598109773238
pos_p2_q229,-12.551665092852785,0.6344991877467727
pos_p2_q45,-12.562761181793052,0.6455952766870396
pos_p1_q115,-11.268414535576998,0.6487513695290144
pos_p1_q208,-12.566058284378585,0.6488923792725725
pos_p1_q149,-11.235806922202984,0.6813589829030278
pos_p0_q133,-12.634048126177126,0.7168822210711134
pos_p3_q194,-12.663452691766766,0.7462867866607539
pos_p0_q230,-12.688483381776061,0.771317476670049
pos_p2_q213,-11.143065729129809,0.7741001759762032
pos_p1_q97,-12.718128674075563,0.8009627689695513
pos_p4_q5,-12.732418971178447,0.8152530660724349
pos_p2_q16,-12.744074486602955,0.8269085814969426
pos_p0_q9,-12.78417169556781,0.867005790461798
pos_p2_q128,-11.034306765929076,0.8828591391769365
pos_p4_q19,-12.801260643517743,0.884094738411731
pos_p3_q57,-11.03248150180723,0.8846844032987828
pos_p0_q59,-10.971160457374797,0.9460054477312152
pos_p2_q64,-10.948939391971553,0.968226513134459
pos_p3_q228,-12.916459481887163,0.9992935767811506
pos_p0_q180,-12.929813635181807,1.0126477300757948
pos_p2_q170,-12.937223122835851,1.020057217729839
pos_p0_q127,-12.949099350736118,1.0319334456301057
pos_p2_q0,-10.883035881896069,1.0341300232099435
pos_p1_q185,-10.868938550069759,1.0482273550362535
pos_p1_q153,-10.862653256574163,1.0545126485318495
pos_p0_q0,-12.988061060785892,1.0708951556798798
pos_p2_q234,-13.003951349574521,1.086785444468509
pos_p3_q0,-13.023347315562763,1.1061814104567507
pos_p0_q132,-10.806745353199195,1.1104205519068167
pos_p2_q37,-10.800903335321049,1.116262569784963
pos_p3_q217,-13.052576476265147,1.1354105711591345
pos_p2_q140,-10.75747473686242,1.159691168243592
pos_p0_q140,-10.722675181619433,1.1944907234865791
pos_p3_q102,-10.705181288779368,1.2119846163266441
pos_p2_q149,-10.691875952472113,1.225289952633899
pos_p2_q109,-13.145168764841708,1.228002859735696
pos_p1_q36,-10.680773427343306,1.2363924777627062
pos_p2_q93,-13.161550047335036,1.2443841422290234
pos_p0_q113,-13.172024862877615,1.254858957771603
pos_p1_q133,-13.185992009635621,1.2688261045296088
pos_p0_q41,-13.229091891514605,1.3119259864085926
pos_p0_q52,-10.578115502467035,1.3390504026389767
pos_p0_q2,-13.256690096622073,1.3395241915160607
pos_p2_q50,-13.27749641834883,1.3603305132428183
pos_p3_q237,-10.551842132550838,1.3653237725551737
pos_p1_q157,-10.544876059910857,1.372289845195155
pos_p0_q31,-13.306289011537341,1.3891231064313292
pos_p1_q193,-10.49612525785442,1.4210406472515924
pos_p0_q183,-13.344069245416188,1.4269033403101758
pos_p2_q226,-10.476413652411434,1.440752252694578
pos_p1_q91,-13.385100726345232,1.4679348212392203
pos_p1_q120,-13.410204523229963,1.4930386181239506
pos_p2_q148,-10.339480486812743,1.5776854182932691
pos_p0_q111,-10.312464214224141,1.6047016908818712
pos_p0_q57,-10.310407941548062,1.6067579635579499
pos_p3_q64,-13.553445374415208,1.636279469309196
pos_p2_q92,-13.744463480583633,1.8272975754776208
pos_p3_q63,-13.775705221294293,1.8585393161882813
pos_p2_q230,-10.024615345104523,1.8925505600014887
pos_p1_q199,-13.822582484165808,1.9054165790597963
pos_p3_q56,-9.994939012375362,1.9222268927306505
pos_p2_q103,-9.963185801150159,1.9539801039558533
pos_p2_q196,-9.897396049418962,2.0197698556870503
pos_p3_q99,-9.890463105471103,2.0267027996349096
pos_p1_q47,-13.951269014894594,2.0341031097885818
pos_p3_q197,-9.861799651573575,2.055366253532437
pos_p0_q50,-9.858885430115265,2.058280474990747
pos_p0_q174,-9.850079209201422,2.0670866959045906
pos_p2_q11,-13.989733265333863,2.0725673602278505
pos_p2_q2,-13.992006193607512,2.0748402885015
pos_p3_q116,-14.014203922982535,2.097038017876523
pos_p0_q185,-14.072820074157967,2.155654169051955
pos_p3_q2,-9.657335774802394,2.2598301303036177
pos_p2_q12,-9.639118063927071,2.2780478411789407
pos_p0_q165,-14.201927359267849,2.2847614541618366
pos_p4_q234,-9.560513951303948,2.3566519538020643
pos_p0_q135,-9.508747321722216,2.4084185833837957
pos_p0_q110,-9.494723967236816,2.4224419378691966
pos_p1_q116,-9.489554130061022,2.4276117750449906
pos_p2_q214,-14.350573415424781,2.4334075103187693
pos_p1_q111,-9.457559302872223,2.459606602233789
pos_p2_q174,-14.377674263051814,2.460508357945802
pos_p1_q11,-9.44596406156872,2.471201843537292
pos_p1_q54,-9.395236815540414,2.5219290895655977
pos_p2_q55,-14.457873049654795,2.540707144548783
pos_p1_q234,-9.36491544620137,2.5522504589046413
pos_p2_q99,-14.477320114024554,2.560154208918542
pos_p0_q197,-14.528324026538677,2.6111581214326645
pos_p0_q105,-14.53429169815788,2.6171257930518674
pos_p2_q133,-14.567540025394884,2.6503741202888715
pos_p0_q200,-9.265431358036274,2.651734547069738
pos_p1_q167,-14.56941473570668,2.6522488306006675
pos_p2_q185,-14.586967270814313,2.6698013657083006
pos_p1_q205,-9.232523349656034,2.6846425554499778
pos_p1_q57,-9.231259359198804,2.6859065459072085
pos_p0_q232,-9.226712367358024,2.690453537747988
pos_p1_q5,-14.617451642610774,2.700285737504762
pos_p3_q5,-14.632042910318175,2.7148770052121627
