label,projection,distance
pos_p1_q58,40.06875419123155,0.06875419123154813
pos_p3_q153,40.129743932351786,0.12974393235178638
pos_p3_q163,40.14267817757689,0.14267817757689016
pos_p3_q135,39.8561421101947,0.14385788980529668
pos_p2_q205,40.213309283749766,0.21330928374976565
pos_p2_q200,39.78600291109628,0.21399708890371727
pos_p0_q102,40.23798235432826,0.23798235432825976
pos_p1_q226,40.302016264872435,0.30201626487243516
pos_p2_q99,39.69771963712485,0.3022803628751518
pos_p2_q186,40.43374301558962,0.43374301558962003
pos_p2_q113,39.44100837847058,0.5589916215294224
pos_p1_q68,39.43771072492969,0.562289275070313
pos_p2_q132,39.43513941926143,0.5648605807385678
pos_p4_q165,40.57111451229386,0.5711145122938603
pos_p1_q85,40.59890087112548,0.5989008711254797
pos_p2_q143,40.626741357063025,0.6267413570630254
pos_p4_q197,39.373093580471455,0.6269064195285452
pos_p3_q25,39.37133027189869,0.6286697281013076
pos_p2_q148,40.6397440621464,0.6397440621463986
pos_p2_q137,40.65127513762108,0.6512751376210772
pos_p4_q104,39.32076629924957,0.6792337007504301
pos_p1_q222,39.240176512508455,0.7598234874915448
pos_p1_q180,39.215022051326876,0.7849779486731236
pos_p2_q69,40.808046956411125,0.8080469564111254
pos_p0_q78,40.843933661736365,0.8439336617363651
pos_p0_q238,39.15584763946511,0.844152360534892
pos_p0_q203,40.8669160009025,0.8669160009024992
pos_p3_q90,39.10327446343621,0.8967255365637925
pos_p4_q48,39.081562456061,0.9184375439389996
pos_p1_q98,39.039787183596694,0.9602128164033061
pos_p3_q28,39.02386801222265,0.9761319877773502
pos_p3_q158,40.98718880361889,0.987188803618892
pos_p4_q9,41.007102008632955,1.0071020086329554
pos_p0_q36,41.04887065269691,1.0488706526969125
pos_p3_q59,41.07402842817359,1.074028428173591
pos_p2_q83,41.119231939095755,1.119231939095755
pos_p1_q41,41.1232335855267,1.1232335855266982
pos_p0_q155,38.8190146649137,1.180985335086298
pos_p4_q99,38.79615766464111,1.2038423353588925
pos_p1_q105,41.20462749059047,1.2046274905904681
pos_p2_q171,41.22510020405407,1.2251002040540726
pos_p2_q29,41.232650425362735,1.2326504253627348
pos_p2_q73,41.260165486027475,1.260165486027475
pos_p0_q142,38.72872563243679,1.2712743675632083
pos_p1_q69,41.275815304487686,1.2758153044876863
