label,projection,distance
pos_p1_q156,14.066309733835302,0.06568585415724648
pos_p1_q196,13.893611292047064,0.10701258763099197
pos_p0_q139,14.111792427081436,0.11116854740338056
pos_p2_q129,13.8392114667966,0.16141241288145558
pos_p3_q25,14.168893183053235,0.16826930337517965
pos_p4_q237,13.794416613636606,0.20620726604144934
pos_p0_q57,13.750968834443746,0.24965504523430937
pos_p4_q190,13.710681258906853,0.28994262077120325
pos_p2_q224,14.301695937252699,0.3010720575746433
pos_p0_q202,13.664056285674443,0.336567594003613
pos_p2_q84,13.618838589564623,0.38178529011343265
pos_p1_q194,13.599858955461507,0.4007649242165492
pos_p3_q223,14.428316684621949,0.4276928049438933
pos_p3_q44,13.530290789061478,0.47033309061657746
pos_p0_q145,14.54168653188212,0.5410626522040634
pos_p3_q224,14.60925477694148,0.6086308972634242
pos_p3_q198,14.61137502121862,0.6107511415405646
pos_p4_q217,13.376046474236837,0.6245774054412188
pos_p3_q36,13.3726631827849,0.6279606968931564
pos_p1_q42,14.66165026718452,0.6610263875064639
pos_p1_q177,13.332917894302298,0.6677059853757576
pos_p2_q192,13.280362231983473,0.7202616476945831
pos_p4_q233,14.725385079716443,0.7247612000383867
pos_p4_q214,14.775316762153349,0.7746928824752928
pos_p3_q162,14.90184641897906,0.9012225393010045
pos_p4_q103,14.909307445905121,0.9086835662270651
pos_p3_q117,13.085760434216626,0.91486344546143
pos_p0_q131,13.044676111565485,0.955947768112571
pos_p4_q165,14.961608191314165,0.9609843116361088
pos_p4_q149,14.994624077947952,0.9940001982698963
pos_p0_q223,13.00407519015772,0.9965486895203366
pos_p3_q176,12.874691418217623,1.1259324614604331
pos_p2_q132,15.177849602952163,1.1772257232741072
pos_p2_q197,12.80199480935237,1.1986290703256852
pos_p1_q91,12.770068643951989,1.230555235726067
pos_p2_q211,12.767137392071485,1.2334864876065712
pos_p4_q55,12.744032592157849,1.256591287520207
pos_p4_q39,15.339569955252598,1.3389460755745421
pos_p0_q53,15.36347447767924,1.3628505980011845
pos_p1_q128,15.425185601402012,1.424561721723956
pos_p1_q40,12.567561268369625,1.433062611308431
pos_p1_q7,12.566506473974659,1.4341174057033967
pos_p1_q22,12.52786665749579,1.4727572221822651
pos_p1_q0,12.433034501156422,1.5675893785216335
pos_p0_q46,15.666905414750605,1.6662815350725495
pos_p4_q176,15.68268709387823,1.6820632142001735
pos_p2_q4,12.28047874600347,1.7201451336745865
pos_p0_q25,12.207034193211308,1.7935896864667473
pos_p0_q132,12.14086345922318,1.8597604204548759
pos_p4_q19,15.860922419338888,1.8602985396608318
pos_p2_q98,12.124242237707081,1.8763816419709745
pos_p3_q23,15.879850095004334,1.8792262153262786
pos_p3_q167,12.043862700692829,1.9567611789852268
pos_p4_q45,15.990943793194726,1.9903199135166698
pos_p4_q92,12.003423842139522,1.9972000375385335
pos_p4_q158,16.01539856727675,2.0147746875986954
pos_p3_q133,16.03996622331066,2.0393423436326046
pos_p1_q190,11.959559778521069,2.041064101156987
pos_p3_q31,16.047019920074018,2.046396040395962
pos_p0_q31,16.064149099115806,2.06352521943775
pos_p1_q158,16.12066347400015,2.120039594322094
pos_p3_q4,11.805483086262,2.195140793416055
pos_p4_q67,16.278591913880053,2.2779680342019972
pos_p3_q1,16.320128620606376,2.31950474092832
pos_p2_q175,16.321677210923262,2.3210533312452064
pos_p0_q123,16.323045005419452,2.3224211257413963
pos_p1_q111,11.664873024346477,2.335750855331579
pos_p4_q112,16.407117929244862,2.406494049566806
pos_p2_q143,11.513781678716185,2.4868422009618705
pos_p4_q104,11.476044997458647,2.5245788822194086
pos_p1_q207,11.389447870247702,2.6111760094303538
pos_p4_q173,11.364005504912535,2.6366183747655203
pos_p4_q120,11.316260724559182,2.6843631551188736
pos_p1_q87,11.273300267164414,2.7273236125136417
