label,projection,distance
pos_p2_q114,-37.99507182969328,0.012048169740729975
pos_p3_q59,-37.99740575244362,0.014382092491068477
pos_p3_q36,-37.94729425071993,0.0357294092326228
pos_p4_q130,-38.031120088937435,0.0480964289848842
pos_p4_q139,-37.92505371893835,0.05796994101419983
pos_p4_q119,-38.04750638598258,0.06448272603002891
pos_p1_q37,-38.054318707603294,0.07129504765074302
pos_p1_q225,-38.05682283586931,0.07379917591676133
pos_p0_q153,-37.90218795855001,0.08083570140254182
pos_p0_q47,-38.07014004925052,0.08711638929796806
pos_p4_q164,-38.07240518179891,0.08938152184636294
pos_p2_q165,-37.889851063661006,0.09317259629154506
pos_p1_q167,-37.87144202141505,0.11158163853750125
pos_p0_q165,-38.10309595724931,0.12007229729675828
pos_p4_q199,-38.1049954837583,0.121971823805751
pos_p1_q27,-38.12785704079847,0.1448333808459168
pos_p2_q142,-38.12900180406816,0.1459781441156096
pos_p0_q84,-38.15274618787181,0.16972252791926223
pos_p2_q48,-38.16830482358119,0.18528116362863756
pos_p1_q141,-38.17339716334066,0.1903735033881091
pos_p1_q185,-37.79020382999838,0.1928198299541677
pos_p4_q14,-37.772423250147824,0.2106004098047265
pos_p0_q59,-37.76506724360983,0.217956416342723
pos_p4_q48,-38.233880581196026,0.25085692124347503
pos_p3_q188,-37.72994630836467,0.25307735158788347
pos_p4_q36,-37.72064921465171,0.26237444530084275
pos_p4_q27,-37.71248141467906,0.27054224527348936
pos_p1_q28,-38.25372649642427,0.27070283647172033
pos_p0_q50,-37.6948338150213,0.288189844931253
pos_p3_q52,-38.30401993002333,0.32099627007077913
pos_p4_q124,-37.661096931943,0.3219267280095508
pos_p3_q198,-38.31213701242246,0.3291133524699106
pos_p0_q152,-38.31751207292195,0.33448841296939946
pos_p1_q4,-38.32228213376388,0.3392584738113271
pos_p4_q120,-37.64160881542282,0.34141484452973003
pos_p1_q222,-37.63013478603052,0.3528888739220335
pos_p0_q228,-38.38450077569855,0.40147711574599754
pos_p1_q187,-37.57677843519069,0.40624522476186087
pos_p4_q40,-37.57645147401711,0.4065721859354383
pos_p2_q239,-38.38988438629913,0.4068607263465793
pos_p2_q132,-37.572572155365734,0.4104515045868169
pos_p3_q37,-37.54373692829036,0.4392867316621931
pos_p2_q185,-38.42660428080717,0.44358062085461825
pos_p1_q63,-38.43358938216059,0.45056572220804014
pos_p3_q27,-37.53193676582462,0.4510868941279327
pos_p1_q90,-37.53019908663701,0.4528245733155387
pos_p2_q33,-38.43741118553046,0.45438752557790707
pos_p3_q65,-38.443142927130445,0.46011926717789464
pos_p0_q120,-38.44793898063348,0.4649153206809302
pos_p3_q214,-38.45557945568398,0.4725557957314308
pos_p2_q149,-37.49686645905968,0.48615720089286896
pos_p3_q8,-38.48407632063811,0.5010526606855592
pos_p4_q182,-37.481739813202395,0.5012838467501552
pos_p1_q32,-37.45913320914494,0.5238904508076132
pos_p0_q110,-37.447883096120286,0.5351405638322646
pos_p4_q37,-38.52053634346055,0.5375126835079982
pos_p4_q92,-37.44047374307866,0.5425499168738881
pos_p3_q182,-37.43999730844679,0.543026351505759
pos_p4_q181,-37.43681262753849,0.5462110324140639
pos_p3_q130,-38.531349871035005,0.548326211082454
pos_p1_q13,-38.53533034288397,0.552306682931416
pos_p3_q87,-37.43032786736285,0.5526957925897023
pos_p0_q99,-37.42510149840865,0.5579221615438996
pos_p0_q82,-37.4214006411236,0.5616230188289535
pos_p1_q125,-37.386445610464236,0.5965780494883148
pos_p2_q7,-37.378622088603606,0.6044015713489443
pos_p1_q14,-37.37292799332785,0.6100956666247015
pos_p0_q31,-38.60912282239924,0.6260991624466925
pos_p2_q174,-38.616024670159725,0.6330010102071739
pos_p2_q52,-37.33780672832384,0.6452169316287097
pos_p2_q46,-38.636944753539005,0.6539210935864546
pos_p1_q87,-37.32731098920465,0.6557126707479028
pos_p2_q1,-37.32712872935319,0.6558949305993593
pos_p2_q193,-38.6538872148288,0.6708635548762487
pos_p1_q59,-37.30914192791054,0.6738817320420125
pos_p2_q92,-37.28957933020348,0.6934443297490702
pos_p0_q196,-38.68298743280629,0.6999637728537422
pos_p1_q70,-38.685863658230446,0.702839998277895
pos_p4_q13,-38.69230823663821,0.7092845766856612
pos_p3_q1,-38.694466191108454,0.7114425311559032
pos_p2_q25,-37.267852906855005,0.7151707530975457
pos_p0_q66,-37.26652996207108,0.716493697881468
pos_p2_q40,-37.26406869126027,0.7189549686922803
pos_p0_q27,-38.70586290948864,0.7228392495360865
pos_p4_q173,-38.71330637490292,0.7302827149503699
pos_p1_q56,-37.2480960170187,0.7349276429338474
pos_p2_q117,-37.23247276334983,0.7505508966027179
pos_p3_q47,-38.735967372008965,0.752943712056414
pos_p0_q133,-38.73719347750138,0.7541698175488278
pos_p2_q196,-37.2196051133595,0.7634185465930514
pos_p0_q119,-37.21939462982171,0.7636290301308435
pos_p0_q187,-38.750499749563375,0.7674760896108239
pos_p3_q227,-38.75275416994133,0.7697305099887828
pos_p4_q39,-38.75587635115387,0.7728526912013223
pos_p4_q73,-38.76408968359496,0.7810660236424098
pos_p1_q11,-38.76535916017665,0.7823355002241001
pos_p1_q200,-38.77970394750897,0.7966802875564198
pos_p1_q148,-38.78180948243626,0.7987858224837083
pos_p3_q169,-38.78272383198908,0.7997001720365304
pos_p0_q194,-37.16230319998707,0.8207204599654787
pos_p2_q150,-37.16069787019431,0.8223257897582386
pos_p0_q37,-37.158120016746786,0.824903643205765
pos_p4_q112,-38.810065691982736,0.8270420320301852
pos_p2_q116,-37.14937214524503,0.833651514707519
pos_p1_q35,-37.136669063339426,0.846354596613125
pos_p4_q189,-37.118112340069956,0.8649113198825944
pos_p3_q196,-38.85577545219166,0.8727517922391073
pos_p3_q113,-38.85759722474113,0.8745735647885766
pos_p4_q56,-38.86976662521226,0.8867429652597068
pos_p1_q230,-37.09524566880674,0.8877779911458106
pos_p3_q4,-38.8794970731731,0.8964734132205479
pos_p1_q164,-38.88346213174968,0.9004384717971305
pos_p3_q191,-37.06862989436795,0.9143937655845988
pos_p1_q182,-38.90133418944918,0.9183105294966296
pos_p2_q188,-38.911227795718865,0.9282041357663147
pos_p1_q3,-38.91357658756917,0.9305529276166169
pos_p3_q235,-38.91607060070263,0.9330469407500814
pos_p3_q194,-37.043590199678825,0.939433460273726
pos_p2_q187,-37.039939846970945,0.9430838129816053
pos_p1_q199,-37.035150447074514,0.9478732128780365
pos_p3_q152,-38.93108839421256,0.9480647342600079
pos_p2_q28,-37.02952112382319,0.9535025361293634
pos_p2_q217,-37.02516994088548,0.9578537190670673
pos_p0_q55,-38.94889956177141,0.9658759018188618
pos_p4_q90,-37.005116655028736,0.9779070049238143
pos_p1_q9,-36.99762264848435,0.9854010114681984
pos_p1_q62,-36.98217679159936,1.000846868353193
pos_p0_q32,-38.9972092992256,1.0141856392730517
pos_p0_q36,-39.007829091787464,1.0248054318349133
pos_p2_q122,-36.953221760336774,1.0298018996157765
pos_p1_q36,-39.01418471353971,1.0311610535871623
pos_p2_q121,-39.015698360932824,1.032674700980273
pos_p1_q112,-36.93983032293432,1.0431933370182307
pos_p3_q122,-36.93965277909945,1.0433708808531037
pos_p4_q59,-36.93737797851483,1.045645681437719
pos_p4_q196,-36.93406150176853,1.0489621581840183
pos_p3_q120,-36.933249211378346,1.0497744485742047
pos_p3_q13,-39.035077565019364,1.0520539050668134
pos_p4_q149,-36.92108130249115,1.0619423574613975
pos_p2_q15,-36.91000083001307,1.0730228299394824
pos_p0_q232,-39.0624853381748,1.079461678222252
pos_p2_q82,-36.90092424114469,1.0820994188078572
pos_p1_q47,-39.065733499090584,1.0827098391380332
pos_p2_q210,-36.89526741278073,1.0877562471718178
pos_p1_q120,-39.079758580590415,1.0967349206378643
pos_p2_q70,-36.881135071020935,1.1018885889316152
pos_p2_q221,-39.09575722224641,1.1127335622938617
pos_p3_q72,-39.10075060187242,1.1177269419198694
pos_p2_q60,-36.841329377029496,1.141694282923055
pos_p1_q189,-39.13037047361669,1.147346813664143
pos_p3_q155,-36.82776247336923,1.1552611865833171
pos_p2_q225,-39.1476251603521,1.1646015003995487
pos_p3_q149,-36.811348748779004,1.1716749111735467
pos_p3_q82,-36.807272527513554,1.1757511324389966
pos_p3_q189,-39.17173248413202,1.1887088241794714
pos_p1_q15,-39.175230347538,1.192206687585447
pos_p4_q67,-39.17643378672628,1.1934101267737276
pos_p2_q35,-39.176962997363084,1.1939393374105336
pos_p3_q45,-36.78247217828493,1.200551481667624
pos_p0_q65,-39.2041084777,1.221084817747446
pos_p2_q71,-36.75931215190455,1.223711508047998
pos_p3_q3,-39.21317154545986,1.2301478855073071
pos_p4_q111,-39.2268992065039,1.243875546551351
pos_p2_q13,-39.231626029605295,1.248602369652744
pos_p1_q111,-36.73261394029808,1.2504097196544706
pos_p4_q227,-36.72045636443635,1.2625672955161988
pos_p1_q194,-39.26954277000126,1.2865191100487081
pos_p1_q72,-36.68782765142556,1.2951960085269931
pos_p1_q122,-36.67744328545765,1.3055803744949017
pos_p1_q153,-39.30157242705149,1.3185487670989389
pos_p2_q148,-39.318613981001626,1.3355903210490752
pos_p4_q21,-39.318804269189854,1.335780609237304
pos_p2_q219,-36.64705401028769,1.335969649664861
pos_p1_q193,-39.32019931221224,1.3371756522596883
pos_p3_q15,-39.321193250869385,1.3381695909168343
pos_p4_q55,-39.32301006163375,1.3399864016812018
pos_p0_q93,-39.32963682160447,1.3466131616519164
pos_p0_q122,-39.33223954608757,1.3492158861350205
pos_p1_q127,-39.332571370960565,1.3495477110080145
